LastName, FirstName, tid, RMPScore, RMPNumRatings
Downing, Glenn, 765147, 4.4, 577
McCord, Paul, 225937, 3.5, 231
Hickenbottom, Wayne, 1154170, 2.6, 189
Laude, David, 1453404, 4.3, 186
Curtis, Todd, 1357229, 3.9, 170
Sathasivan, K. Sata, 1152087, 4.1, 167
Sutcliffe, Sarah, 559004, 2.8, 165
Biberdorf, Kate, 1935062, 4.7, 156
Fritz, Jennifer, 891227, 3.1, 153
Tuttle, Clint, 1620766, 4.1, 152
Meth, John, 1544510, 4.3, 143
Hansen, Debra, 1786975, 2.4, 139
Shabbir, Shagufta, 1755906, 3.6, 138
Schultz, Evelyn, 477880, 1.8, 120
Wolesensky, Bill, 1865488, 5.0, 119
Anderson, Ronald, 1350024, 4.2, 115
Sparks, Stacy, 175515, 4.0, 114
Speck, Larry, 455091, 4.5, 113
Moore, Leonard, 1473362, 4.5, 109
Latham, Anita, 850298, 4.3, 108
Buskirk, Ruth, 381449, 4.5, 108
Scott, Mike, 137818, 4.5, 107
Richmond-Garza, Elizabeth, 370191, 4.2, 107
Fakhreddine, Fatima, r-75029, 4.3, 106
Moser, Robert, 452756, 3.7, 105
Verduzco, David, 175516, 3.0, 103
Staron, Eric, 1629173, 4.3, 101
Jensen, Robert, 131647, 3.9, 99
Gosling, Sam, 682617, 3.9, 99
Seaholm, Megan, 528043, 3.3, 98
Davis, Katherine, 613362, 3.8, 97
Kimmel, Troy, 239704, 3.8, 96
Batterton, John, 235296, 3.1, 93
Mitra, Shyamal, 1559269, 3.8, 93
Levin, Donald, 699505, 2.8, 91
Daly, John, 450316, 4.5, 89
Miller, Jesse, 1774487, 2.1, 87
Rock, Joshua, 1816320, 4.5, 87
Shear, Ruth, 138910, 3.8, 85
Hager, Amanda, 1671073, 4.4, 83
Saxena, Inder, 225942, 3.0, 82
Bonevac, Daniel, 133965, 4.2, 81
Brands, H. W. "Bill", 1244539, 4.7, 81
Colapret, John, 1131454, 3.3, 80
Haghshenas, Medhi, or-9066, 3.7, 80
Treisman, Uri, 155039, 4.3, 80
Bencivenga, Valerie, 1715264, 2.1, 80
Shirley, Frank, 938347, 2.7, 78
Dragna, Justin, 1628575, 4.2, 77
Stamps, Jack, 2090228, 3.0, 76
Walker, Deborah, 1932585, 3.5, 76
Robinson, Edward, 138812, 2.7, 74
Provost, Shannon, 2065986, 1.9, 74
Labrake, Cynthia, 559013, 3.3, 73
Schneider, Helen, 800725, 3.7, 70
Cepparo, Gustavo, 807591, 4.3, 69
Kahlor, LeeAnn, 1151540, 4.2, 68
Theriault, Sean, 130418, 4.3, 67
Domjan, Wendy, 1248632, 3.6, 66
Iverson, Brent, or-8787, 4.8, 65
Blazek, Kirk, 1928229, 4.1, 65
Maas, Martha, 1350418, 2.8, 65
Anderson, Brian, 769057, 4.4, 65
Struppeck, Thomas, 1299908, 2.0, 64
Johns, Ann, 749652, 4.2, 63
Berry, Betsy, 1047313, 4.2, 62
Harvey, Kristin, 1916164, 4.6, 61
Wandelt, Jessie, 835309, 3.8, 60
Tsishchanka, Kiryl, 2228297, 2.9, 60
Ernst, Christopher, 2011133, 4.2, 59
Mills, Charles, 2329599, 3.1, 59
Prindle, David, 268531, 4.3, 59
Golubski, Christopher, 1913439, 4.5, 58
Sury, Michael, 2280332, 4.3, 58
Enelow, James, or-8489, 2.9, 57
Bradbury, Elizabeth, 2414853, 3.2, 57
Rusin, David, 1583861, 2.5, 56
Bradbury, Kirsten, 1295003, 4.8, 56
Saxena, Prathiba, 674680, 2.2, 56
Dudo, Anthony, 1755526, 4.3, 55
Kamil, Neil D, 225961, 2.7, 55
Shaw, Daron, 263116, 3.8, 55
Boucher, Lisa, 1950253, 1.9, 54
Rowe, Timothy, 528034, 2.8, 54
Telang, Nina, 1294849, 4.3, 54
Pounders, Kate, 1927059, 4.1, 54
Kidwell, Keenan, 2293063, 5.0, 53
Thompson, John, 2165527, 3.0, 53
Fulton, Kelly, 1052250, 2.7, 52
Nibert, Joel, 1888059, 3.5, 52
Reeves, Lauretta, 519065, 4.3, 52
Wiseman, Thomas, 1691316, 4.2, 52
Rezende de Macedo, Alessandro (Alex), 2114061, 4.9, 52
Campion, Alan, 317580, 2.0, 51
Kirk, Chris, 710661, 4.3, 51
Patt, Yale, r-72155, 4.0, 51
Scalo, John, 1170214, 1.9, 50
Stoff, Michael, 493758, 4.6, 50
Bruster, Doug, 658780, 4.7, 49
Taylor, David, 2303870, 5.0, 49
Banner, Jay, 2514175, 3.9, 49
Carroll, Patrick, or-8209, 3.9, 49
Frick, Caroline, 2223972, 4.1, 49
Radin, Diane, 638943, 3.2, 48
Smith, Lindsey, 1847204, 4.0, 48
Olwell, Robert, 1755083, 3.9, 48
Garza, Thomas, 378379, 4.6, 48
O'Brien, Shannon, 1245514, 4.3, 48
Goddard, Bart, 710662, 3.6, 47
Aroian, Mihran, 1713424, 2.8, 47
Henderson, Marlone, 1294172, 3.0, 46
Repp, Ann, 686060, 4.5, 46
McClelland, Blinda, 499823, 3.8, 45
Albertson, Bethany, 1931970, 3.8, 45
Hernandez, Steven, 2122385, 4.3, 45
Zhao, Zaiming, 1197191, 3.3, 44
Krecz, Charles, 1290526, 3.3, 44
Miller, Herbert, 722496, 2.5, 44
Stauffer, Dana, 2084789, 3.9, 44
Fischer, Janice, 355050, 3.3, 44
Green, Penny A., 261552, 3.6, 43
Landau, Brent, 2084351, 4.6, 43
Adams, Paul, 699218, 3.8, 43
Wilcox, Gary, 483289, 3.8, 43
Salinas, Juan, 156417, 3.0, 42
Carlson, Andrew, 1679325, 4.3, 42
McDaniel, Eric, 1923666, 2.5, 42
Valdez, Fred, 731384, 4.2, 41
Hedrick, Beth, 1449963, 3.8, 41
Hines, Mary, 1584477, 2.1, 41
Ries, Judit, 2128929, 2.4, 41
Miner, Zachary, 1347379, 3.5, 41
Berg, Gary, r-77719, 2.0, 40
Galinsky, Karl, 276920, 3.8, 40
Vandenbout, David, 1033407, 3.6, 40
Coffman-Wolph, Stephany, 2363744, 2.7, 40
Speranza, Hallie, 1065925, 4.6, 40
Mostashari, Shalah, 2133434, 2.4, 40
Panero, Jose, 873606, 3.7, 40
Pennebaker, James, or-2577, 4.0, 39
Ramesh, Yerraballi, 1726380, 3.7, 39
Harden, Paige, 2168951, 3.7, 39
Poteet, Mary, 1854661, 3.0, 38
Dahlby, Tracy, 2074407, 4.7, 38
Manukure, Solomon, 2325193, 3.8, 38
Weyland, Kurt, 170880, 3.9, 37
Auyero, Javier, 1798393, 3.6, 37
Meyer, Thoralf, 1847091, 4.8, 37
Lomeli, Hector, 1953310, 3.8, 37
Thijs, Ann, 2264451, 3.3, 37
Bull, Jim, or-8495, 3.7, 36
Chinnery-Allgeier, Brenda, 1197187, 3.7, 36
Gonzales, Oscar, 906722, 3.4, 36
Nethercut, William, 1173341, 3.4, 36
Clark, David, 2255480, 2.3, 36
Ramirez, Manuel, r-73864, 2.4, 36
Leon, Jeff, 1232395, 3.0, 36
Lundy, Steven, 1847568, 4.3, 36
Christian, George, 2104137, 4.7, 36
Sathasivan, Kanthimathi, 1784033, 2.6, 36
Seriff, Suzanne, 1579003, 3.6, 36
Hamermesh, Daniel, 525117, 3.0, 35
Ramirez Berg, Charles, 249992, 4.9, 35
Suri, Jeremi, 1796665, 4.1, 35
Doherty, Brian, r-94198, 3.7, 35
Lewis, Marc, r-27227, 4.2, 34
Lyon, Donna, 398007, 3.3, 34
McGlone, Matthew, 2039078, 2.1, 34
Patterson, James, 2124629, 4.0, 34
Felkner, Marilyn, 2247860, 3.6, 34
Anand, Tej, 2463215, 5.0, 34
Fraij, Fares, 2262263, 4.1, 34
Brownstein, Lawrence, 183814, 4.7, 34
Reece, Robert, 2277092, 3.5, 34
Kim, Goheun, 2176767, 3.4, 34
Finklea, Beverly, 138781, 3.8, 33
Goldstein, Jason, 2058301, 5.0, 33
Viswanathan, Bindu, 1713938, 3.5, 33
Young, Bill, 1300187, 4.0, 33
Evans, Jacqueline, 1856365, 4.6, 33
Meston, Cindy, 1575681, 4.5, 33
Bichteler, Klaus, 417110, 1.4, 32
Bocknack, Brian, 551446, 3.5, 32
He, Yuan, 1967859, 2.3, 32
Ekland-Olson, Sheldon, 1248533, 4.4, 32
Neitzke, Andrew, 1427524, 4.5, 32
Finkelstein, Steven, 1871664, 4.5, 32
Gulizio, Joann, 747481, 4.2, 32
Patterson, Kristin, 1479250, 3.5, 32
Shanahan, Tim, 1580013, 3.2, 32
Novak, Gordon, 1297191, 3.8, 32
Finkelstein, Keely, 2086293, 3.6, 32
Toprac, Heidi, 558190, 4.2, 32
Woodbury, Anthony, 1338160, 3.8, 32
Roberts, Daron, 2049430, 4.9, 32
Moliski, Liz, 2185366, 3.0, 32
Reichler, Stuart, 138858, 4.3, 32
Eberlein, Mary, 1195829, 2.3, 32
Grabner, Gail, 2131814, 3.4, 32
Knapp, Gregory, 886791, 4.2, 32
Hamrick, Gary, 520711, 3.7, 31
Freeland-Graves, Jeanne, 2011861, 2.4, 31
Osborne, Lynette, 1881879, 3.5, 31
Bredeson, Dean, 137240, 3.8, 31
Jones, Richard, 235291, 4.3, 31
McDonald, Patrick, 1711520, 3.8, 31
Bulko, William, 2054475, 4.0, 31
Smith, Stephen, 1932977, 4.5, 31
Ruiz De Castilla, Clariza, 704656, 3.1, 30
Rabinowitz, Adam, 836295, 4.3, 30
Winget, Donald, 1649644, 3.9, 30
Barchas, Janine, 726007, 3.0, 30
Carter, Patricia, 2224358, 4.4, 30
Slotta, James, 2177746, 4.2, 30
Papalexandrou, Athanasio, 1195405, 3.8, 30
Moon, Jennifer, 1124979, 4.7, 30
Slawek, Stephen, 263117, 3.0, 30
Leal, David, 1392493, 3.8, 30
Gleason, Marci, 1892028, 4.3, 30
Gebhardt, Karl, 1556488, 4.0, 30
Murphy, John, r-20603, 3.8, 29
Aprile, Jamie, 1482945, 3.0, 29
Gouda, Mohamed, 1300185, 2.8, 29
Sadun, Lorenzo, 1626073, 3.1, 29
Patton, James, 1130468, 4.8, 29
